Sr. No,Year,Pages,Non-NotDiscussed fields (out of 41),Coverage %,Datasets found?,Metrics found?,Repo link?
106,2024,20,16,39.0,False,True,0.0
107,2024,28,28,68.3,True,True,0.0
108,2024,28,24,58.5,True,True,0.0
109,2024,20,23,56.1,False,True,0.0
110,2024,23,29,70.7,True,True,0.0
111,2024,20,27,65.9,True,True,0.0
112,2024,22,23,56.1,True,True,0.0
113,2024,22,24,58.5,True,True,0.0
114,2024,21,26,63.4,True,True,1.0
115,2024,34,30,73.2,True,True,1.0
116,2024,14,29,70.7,True,True,1.0
117,2024,12,29,70.7,True,True,1.0
118,2024,12,25,61.0,False,True,0.0
119,2024,10,25,61.0,True,True,0.0
120,2024,13,30,73.2,True,True,1.0
122,2024,9,19,46.3,False,True,0.0
123,2024,8,29,70.7,True,True,1.0
124,2024,8,20,48.8,True,True,0.0
125,2024,7,26,63.4,True,True,0.0
126,2024,7,19,46.3,False,True,0.0
127,2024,6,21,51.2,True,True,0.0
128,2024,7,26,63.4,True,True,0.0
129,2024,8,27,65.9,True,True,0.0
130,2024,9,21,51.2,True,True,0.0
131,2024,10,30,73.2,True,True,0.0
132,2024,11,28,68.3,True,True,0.0
133,2024,7,17,41.5,False,True,1.0
134,2024,13,25,61.0,True,True,1.0
135,2024,13,33,80.5,True,True,1.0
136,2024,10,24,58.5,True,True,1.0
137,2024,12,30,73.2,True,True,1.0
138,2024,12,30,73.2,True,True,1.0
139,2024,10,29,70.7,True,True,1.0
140,2024,11,28,68.3,True,True,0.0
141,2024,11,30,73.2,True,True,1.0
142,2024,11,25,61.0,True,True,1.0
143,2024,13,27,65.9,True,True,0.0
144,2024,12,22,53.7,True,True,0.0
145,2024,14,25,61.0,True,True,1.0
146,2025,21,28,68.3,True,True,1.0
147,2025,21,23,56.1,False,True,0.0
148,2025,18,17,41.5,False,True,0.0
149,2025,30,21,51.2,True,True,0.0
150,2025,38,27,65.9,True,True,0.0
151,2025,26,26,63.4,True,True,0.0
152,2025,27,26,63.4,True,True,1.0
153,2025,24,27,65.9,True,True,1.0
154,2025,22,26,63.4,True,True,1.0
155,2025,20,27,65.9,True,True,1.0
156,2025,6,30,73.2,True,True,0.0
157,2025,13,24,58.5,True,True,1.0
158,2025,11,29,70.7,False,True,0.0
159,2025,9,21,51.2,False,True,0.0
160,2025,6,21,51.2,True,True,0.0
161,2025,8,21,51.2,True,True,0.0
162,2025,7,23,56.1,False,True,0.0
163,2025,8,23,56.1,True,True,0.0
164,2025,5,23,56.1,True,True,0.0
165,2025,9,21,51.2,True,True,0.0
166,2025,9,25,61.0,False,True,0.0
167,2025,7,20,48.8,False,True,1.0
168,2025,6,17,41.5,False,True,0.0
169,2025,10,32,78.0,True,True,0.0
170,2025,10,25,61.0,False,True,1.0
171,2025,8,29,70.7,False,True,0.0
172,2025,11,26,63.4,True,True,0.0
173,2025,10,30,73.2,True,True,1.0
174,2025,8,25,61.0,False,True,0.0
175,2025,8,20,48.8,False,True,0.0
176,2025,7,24,58.5,False,True,0.0
177,2025,8,23,56.1,False,True,0.0
178,2025,12,30,73.2,True,True,0.0
179,2025,13,27,65.9,True,True,1.0
180,2025,13,31,75.6,True,True,1.0
181,2025,12,25,61.0,True,True,1.0
182,2025,10,26,63.4,False,True,1.0
183,2025,15,31,75.6,True,True,1.0
184,2025,11,29,70.7,True,True,1.0
186,2025,7,29,70.7,True,True,1.0
187,2025,10,24,58.5,False,True,0.0
188,2025,7,27,65.9,True,True,0.0
189,2025,9,29,70.7,True,True,1.0
190,2025,9,28,68.3,True,True,0.0
191,2025,9,23,56.1,False,True,1.0
192,2025,9,27,65.9,True,True,0.0
193,2025,14,28,68.3,True,True,0.0
194,2025,13,25,61.0,True,True,1.0
195,2025,10,27,65.9,True,True,1.0
196,2025,11,28,68.3,True,True,1.0
197,2025,11,25,61.0,False,True,1.0
198,2025,10,27,65.9,True,True,0.0
199,2026,32,26,63.4,True,True,1.0
200,2026,25,24,58.5,True,True,1.0
201,2026,7,22,53.7,False,True,0.0
202,2025,6,26,63.4,True,True,0.0
203,2026,10,23,56.1,False,True,0.0
204,2024,7,27,65.9,True,True,0.0
205,2024,8,24,58.5,True,True,0.0
206,2024,6,30,73.2,True,True,0.0
207,2024,6,27,65.9,False,True,0.0
208,2024,4,23,56.1,True,True,1.0
209,2024,6,23,56.1,False,True,0.0
210,2024,7,27,65.9,True,True,0.0
211,2024,4,24,58.5,True,True,0.0
212,2024,7,28,68.3,True,True,1.0
213,2024,7,24,58.5,False,True,0.0
214,2024,10,29,70.7,True,True,1.0
215,2024,5,29,70.7,True,True,0.0
216,2024,14,27,65.9,True,True,0.0
217,2024,5,21,51.2,True,True,0.0
218,2024,5,23,56.1,True,True,0.0
219,2024,6,25,61.0,True,True,0.0
220,2024,5,24,58.5,False,True,0.0
221,2024,9,30,73.2,True,True,0.0
222,2024,8,26,63.4,True,True,0.0
223,2024,5,27,65.9,False,True,0.0
224,2024,6,28,68.3,True,True,0.0
225,2024,8,28,68.3,True,True,0.0
226,2024,6,20,48.8,False,True,0.0
227,2024,5,21,51.2,False,True,0.0
228,2024,6,23,56.1,True,True,0.0
229,2024,5,23,56.1,True,True,0.0
230,2024,8,32,78.0,True,True,0.0
231,2024,7,25,61.0,True,True,0.0
232,2024,8,29,70.7,True,True,1.0
233,2024,6,23,56.1,True,True,0.0
234,2024,5,20,48.8,True,True,0.0
235,2024,18,34,82.9,True,True,0.0
236,2024,8,26,63.4,True,True,0.0
237,2024,5,20,48.8,False,True,0.0
238,2024,5,27,65.9,True,True,0.0
240,2024,19,33,80.5,True,True,0.0
241,2024,15,32,78.0,True,True,1.0
243,2024,12,23,56.1,True,True,0.0
244,2024,14,31,75.6,False,True,1.0
245,2024,15,24,58.5,True,True,0.0
246,2025,6,26,63.4,False,True,0.0
247,2025,6,19,46.3,True,True,1.0
248,2025,6,28,68.3,True,True,0.0
249,2025,7,21,51.2,True,True,0.0
250,2025,8,21,51.2,True,True,0.0
251,2025,6,28,68.3,True,True,0.0
252,2025,4,25,61.0,True,True,0.0
253,2025,5,26,63.4,True,True,0.0
254,2025,6,26,63.4,True,True,0.0
255,2025,4,26,63.4,True,True,0.0
256,2025,6,24,58.5,True,True,1.0
257,2025,6,26,63.4,True,True,0.0
258,2025,6,23,56.1,True,True,0.0
259,2025,8,27,65.9,False,True,0.0
260,2025,4,23,56.1,True,True,0.0
261,2025,8,26,63.4,True,True,0.0
262,2025,5,23,56.1,False,True,0.0
263,2025,9,28,68.3,True,True,0.0
264,2025,4,23,56.1,True,True,0.0
265,2025,5,21,51.2,False,True,0.0
266,2025,5,21,51.2,False,True,0.0
267,2025,7,25,61.0,True,True,0.0
268,2025,5,23,56.1,True,True,0.0
269,2025,5,27,65.9,False,True,0.0
270,2025,8,26,63.4,True,True,0.0
271,2025,5,26,63.4,False,True,0.0
272,2025,5,28,68.3,True,True,0.0
273,2025,6,28,68.3,False,True,0.0
274,2025,7,26,63.4,True,True,0.0
275,2025,9,32,78.0,True,True,0.0
276,2025,6,23,56.1,True,True,0.0
277,2025,4,21,51.2,True,True,0.0
278,2025,6,24,58.5,True,True,0.0
279,2025,6,26,63.4,False,True,0.0
280,2025,6,26,63.4,True,True,0.0
281,2025,5,25,61.0,True,True,0.0
282,2025,4,26,63.4,False,True,0.0
283,2025,6,28,68.3,False,True,0.0
284,2025,6,29,70.7,True,True,0.0
285,2025,7,27,65.9,True,True,0.0
286,2025,5,25,61.0,True,True,0.0
287,2025,7,25,61.0,True,True,0.0
288,2025,8,30,73.2,True,True,0.0
289,2025,8,25,61.0,True,True,0.0
290,2025,7,26,63.4,True,True,1.0
291,2025,6,22,53.7,False,True,0.0
292,2025,6,26,63.4,True,True,0.0
293,2025,4,22,53.7,False,True,0.0
294,2025,6,32,78.0,True,True,0.0
295,2025,5,24,58.5,False,True,1.0
296,2025,6,27,65.9,True,True,0.0
297,2025,6,29,70.7,True,True,0.0
298,2025,6,27,65.9,True,True,0.0
299,2025,9,27,65.9,True,True,0.0
300,2025,6,28,68.3,True,True,0.0
301,2025,6,25,61.0,True,True,0.0
302,2025,8,30,73.2,True,True,1.0
303,2025,8,24,58.5,True,True,0.0
304,2025,10,30,73.2,True,True,1.0
305,2025,4,16,39.0,False,True,0.0
306,2025,6,26,63.4,False,True,0.0
307,2025,10,24,58.5,True,True,0.0
308,2025,8,27,65.9,True,True,0.0
309,2025,6,25,61.0,True,True,0.0
310,2025,6,24,58.5,False,True,0.0
311,2025,10,22,53.7,True,True,0.0
312,2025,26,29,70.7,False,True,0.0
313,2025,14,24,58.5,True,True,0.0
314,2025,13,29,70.7,True,True,0.0
315,2025,14,25,61.0,True,True,0.0
316,2025,9,29,70.7,True,True,0.0
317,2025,18,30,73.2,True,True,0.0
318,2024,15,29,70.7,True,True,0.0
319,2025,14,28,68.3,True,True,0.0
320,2025,13,27,65.9,True,True,0.0
321,2024,16,32,78.0,True,True,0.0
322,2026,5,33,80.5,True,True,0.0
323,2026,7,32,78.0,True,True,0.0
324,2026,13,32,78.0,True,True,0.0
325,2026,20,30,73.2,True,True,0.0
326,2026,11,29,70.7,True,True,1.0
327,2025,13,29,70.7,True,True,0.0
328,2025,15,26,63.4,True,True,0.0
329,2025,14,32,78.0,True,True,1.0
330,2025,14,28,68.3,True,True,1.0
331,2024,14,32,78.0,True,True,0.0
332,2024,16,27,65.9,True,True,0.0
333,2024,10,24,58.5,True,True,1.0
334,2025,22,27,65.9,True,True,0.0
335,2025,16,28,68.3,True,True,1.0
336,2025,27,24,58.5,True,True,0.0
337,2025,18,33,80.5,True,True,0.0
338,2025,14,29,70.7,True,True,0.0
339,2025,13,30,73.2,True,True,0.0
340,2025,25,27,65.9,False,True,0.0
341,2025,26,33,80.5,True,True,0.0
342,2025,35,33,80.5,True,True,0.0
343,2025,17,31,75.6,False,True,0.0
345,2025,17,25,61.0,True,True,1.0
346,2025,13,20,48.8,False,True,0.0
347,2025,12,27,65.9,True,True,0.0
348,2025,10,26,63.4,True,True,0.0
349,2025,29,29,70.7,True,True,0.0
350,2026,37,34,82.9,True,True,0.0
352,2026,11,19,46.3,True,True,0.0
353,2026,26,27,65.9,False,True,0.0
354,2026,14,34,82.9,False,True,0.0
355,2026,29,32,78.0,True,True,1.0
121,2024,15,27,66.0,True,True,
185,2024,20,32,78.0,True,True,
239,2024,14,26,63.0,True,True,
242,2024,13,26,63.0,True,True,
344,2024,8,25,61.0,True,True,
351,2024,13,29,71.0,True,True,
356,2025,15,29,71.0,True,True,
357,2025,15,19,46.0,True,True,
358,2025,17,30,73.0,True,True,
359,2025,14,24,59.0,True,True,
360,2025,14,28,68.0,True,True,
361,2025,12,20,49.0,True,True,
362,2025,11,29,71.0,True,True,
363,2025,10,23,56.0,True,True,
364,2025,15,29,71.0,True,True,
365,2025,28,26,63.0,True,True,
